"","Liver_LTDR_rep1","Liver_LTDR_rep2","Liver_LTDR_rep3","Liver_LTAL_rep1","Liver_LTAL_rep2","Liver_LTAL_rep3","Liver_Young_rep1","Liver_Young_rep2","Liver_Young_rep3","Liver_STDR_rep1","Liver_STDR_rep2","Liver_STDR_rep3"
"Usp42",113.21512830221,98.7770530276179,118.080180627958,61.567814497568,74.7988756450477,94.8279229209032,139.712608068442,113.138783807794,105.379390319569,78.1364923683336,107.184606743468,114.555681762724
"Usp43",0,0,0.738001128924736,0,6.46410036438684,4.33853242121779,2.97260868230727,0,2.32454537469637,3.0843352250658,2.25651803670459,1.10149694002619
"Usp44",0,0,0,0,0,0,0,0,0,0,0,0
"Usp45",470.331983625846,434.619033321519,505.530773313444,394.639597845067,422.013409503541,407.202257248584,383.466520017638,434.555783261756,418.418167445346,373.204562232962,314.78426612029,362.392493268617
"Usp46",272.55493850532,228.010364072085,303.318463988066,160.480041067431,207.774654569577,287.582720492151,231.863477219967,168.422507713876,258.024536591297,252.915488455396,183.906219991424,192.761964504583
"Usp47",2570.40272775017,2142.63890859074,2509.94183947303,2161.93866645558,2281.82742862855,1937.46462124669,2122.44259916739,2314.20239606852,2080.46811035325,2226.89003249751,2160.61602014464,2453.03368543833
"Usp48",588.439123644818,704.609644930341,585.97289636624,556.128947346885,468.185554963447,564.629005104201,624.247823284528,696.832054816188,757.026943692783,503.774753427414,557.359955066033,537.530506732781
"Usp49",17.4714704170077,20.5785527140871,16.9740259652689,14.1303180814091,9.23442909198119,16.1145489930947,26.7534781407655,5.14267199126338,13.1724237899461,14.3935643836404,14.6673672385798,18.7254479804452
"Usp5",858.198626883417,942.497714305187,651.654996840542,1081.97864166218,952.993082292459,990.424972729434,609.384779872991,843.398206567195,1114.23208293779,714.537660473577,685.981483158195,723.683489597207
"Usp50",9.7840234335243,10.7008474113253,8.11801241817209,1.00930843438636,6.46410036438684,8.05727449654733,11.8904347292291,8.99967598471092,5.42393920762485,4.1124469667544,4.51303607340918,9.91347246023571
"Usp51",0,0,2.21400338677421,1.00930843438636,0,0,5.94521736461455,0,0,0,0,0
"Usp53",290.725267739008,218.955800877886,371.214567849142,178.647592886386,156.061851654482,172.921506502824,142.685216750749,178.707851696403,176.665448476924,290.955622897874,274.166941459607,264.359265606286
"Usp54",82.4653403682762,109.477900438943,95.2021456312909,90.8377590947725,74.7988756450477,77.4737932360321,107.013912563062,92.5680958427409,99.9554511119438,128.513967711075,160.212780606026,142.093105263379
"Usp6nl",629.671793828956,550.68207062897,751.285149245381,556.128947346885,588.233133159202,450.587581460762,523.17912808608,680.118370844583,591.984222089341,456.481613309738,613.772905983648,693.9430722165
"Usp7",1415.18910377762,1267.63884718776,1554.96837864442,1116.29512843132,1093.35640449057,1074.09666942435,1432.79738487211,1364.09374568261,1280.8245014577,1167.93493855825,1234.31536607741,1427.54003427394
"Usp8",802.988780365672,961.429982802147,819.919254235382,969.945405445293,980.696369568403,917.289711914619,1278.22173339213,1247.09795788137,844.584819473013,638.45739158862,739.009657020753,739.104446757574
"Usp9x",5242.83884273566,4949.55349879222,5402.90626485799,4410.6778582684,4047.45027101536,3843.31993485308,4051.66563398482,4866.25337173298,4384.86742513558,3901.68405970824,4868.43766419015,3806.77342473051
"Usp9y",0,0,0,0,0,0,0,0,0,0,0,0
"Uspl1",550.700747544082,498.82411778947,408.852625424304,490.523899111771,353.67863422288,368.155465457624,318.069129006878,326.559671445225,439.339075817613,366.007780041141,342.990741579097,428.482309670188
"Ust",16.7726116003274,18.1091263883966,14.02202144957,14.1303180814091,21.2391869115567,57.6405021676078,17.8356520938436,15.4280159737902,13.1724237899461,32.8995757340352,37.2325476056257,23.13143574055
"Utf1",0,0.823142108563482,0,0,0,0,0,0,0,0,0,0
"Utp11l",187.294162870322,200.84667448949,171.954263039463,241.22471581834,185.612024748822,184.077732728812,294.28825954842,262.276271554433,203.785144515048,184.032001762259,152.31496747756,204.878430844871
"Utp14a",229.225691871141,190.145827078164,195.570299165055,132.219404904613,137.59299347052,140.072618170746,166.466086209207,209.563883643983,161.943327770514,235.437588846689,232.421357780573,241.227829865736
"Utp14b",508.070359726583,423.918185910193,335.05251253183,254.345725465363,195.769896750001,449.967791114874,481.562606533778,286.703963512934,476.531801812755,158.329208220044,166.98233471614,253.344296206024
"Utp15",133.482033985939,146.5192953243,162.360248363442,155.4334988955,150.521194199293,159.90590923917,124.849564656906,167.13683971606,123.200904858907,161.41354344511,183.906219991424,187.254479804452
"Utp18",284.435538388885,277.398890585894,290.034443667421,301.783221881522,246.559256755898,256.593203197738,175.383912256129,197.99287166364,280.495141880028,336.192539532172,308.014712010176,241.227829865736
"Utp20",525.541830143591,595.954886599961,588.924900881939,507.682142496339,343.5207622217,507.608293282482,445.891302346091,606.835294969079,583.460889048788,451.341054601295,530.281738625578,482.455659731471
"Utp23",51.7155524343427,43.6265317538646,48.7080745090326,58.5398891944089,62.7941178254721,57.6405021676078,41.6165215523018,57.8550599017131,65.0872704914983,59.6304810179388,49.6433968075009,51.770356181231
"Utp3",297.01499708913,267.521185283132,269.370412057529,235.168865212022,277.956315668634,216.306830715001,645.056084060679,515.552867124154,301.416050252296,277.590170255922,254.986538147618,341.464051408119
"Utp6",543.712159377279,535.865512674827,557.9288534671,971.964022314065,686.118081534203,674.331896326423,862.05651786911,759.829786709165,715.959975406481,522.280764777809,465.970974579497,447.207757650633
"Utrn",2127.32623797485,2112.1826505739,1926.18294649356,1167.76985858502,1218.94464014152,1150.95067231449,1569.53738425824,1907.93130875872,1726.36236494117,1293.36457104426,1536.68878299582,1860.42833170424
"Uts2",0,1.64628421712696,2.95200451569894,0,0,0,0,0,0,1.0281117416886,1.12825901835229,0
"Uts2d",0,0,0,0,0,0,0,0,0,0,0,0
"Uts2r",0,0.823142108563482,0,0,0,0,0,0,0,0,0,0
"Uty",0.698858816680307,0,0,0,0,0,0,0,0.774848458232122,0,0,0
"Uvrag",647.143264245964,602.540023468469,583.758892979466,444.095711129999,562.376731701655,402.863724827367,270.507390089962,411.413759301071,359.529684619705,455.45350156805,396.018915441655,429.583806610214
"Uxs1",64.2950111345882,65.8513686850786,78.9661207949467,74.6888241445907,72.0285469174533,76.8540028901438,71.3426083753746,110.567447812163,107.703935694265,67.8553749514476,55.2846918992624,57.2778408813619
"Uxt",60.1018582345064,37.0413948853567,58.3020891850541,75.6981325789771,60.9472320070759,51.4425987087253,71.3426083753746,66.854735886424,38.7424229116061,60.6585927596274,36.1042885872734,52.8718531212571
"V1ra8",0,0,0.738001128924736,0,0,0,0,0,0,0,0,1.10149694002619
"V1rd19",0,0,0,0,0,0,0,0,0.774848458232122,0,0,0
"V1rh19",0,0,0,0,0,0.619790345888256,0,0,0,0,0,0
"Vac14",329.162502656425,358.066817225115,349.0745339814,190.759294099022,251.176471301889,229.322427978655,211.055216443817,230.134571609036,249.501203550743,276.562058514233,204.214882321765,268.76525336639
"Vamp1",33.5452232006547,39.5108212110472,35.4240541883873,27.2513277284317,22.1626298207549,22.3124524519772,47.5617389169164,23.1420239606852,33.3184837039813,121.317185519255,37.2325476056257,35.2479020808381
"Vamp2",67.7893052179898,74.0827897707134,64.9440993453768,23.2140939908863,28.6267301851417,34.0884690238541,118.904347292291,82.2827518602141,84.4584819473013,57.5742575345616,85.7476853947744,101.33771848241
"Vamp3",297.713855905811,236.241785157719,266.41840754183,228.103706171318,241.942042209907,312.374334327681,222.945651173046,154.280159737901,244.077264343118,190.200672212391,169.238852752844,152.006577723614
"Vamp4",164.231821919872,195.084679729545,185.238283360109,225.075780868158,210.544983297171,221.265153482108,225.918259855353,206.992547648351,192.937266099798,141.879420353027,142.160636312389,128.875141983064
"Vamp5",92.9482226184808,90.5456319419831,76.0141162792478,90.8377590947725,94.1911767382082,135.734085749528,65.39739101076,84.8540878558458,104.604541861337,74.0240454015792,56.4129509176147,48.4658653611524
"Vamp7",0,0,0,0,0,0,0,0,0,0,0,0
"Vamp8",1283.80364624172,1085.72444119523,1208.84584917872,1290.90548758016,1205.09299650355,1433.57507003954,954.207387020635,1182.81455799058,1270.75147150068,1791.99876576323,1577.30610765651,1257.90950550991
"Vangl1",42.6303878174987,43.6265317538646,49.4460756379573,46.4281879817726,48.9424741875003,58.2602925134961,121.876955974598,71.9974078776874,82.133936572605,40.0963579258554,75.5933542296037,52.8718531212571
"Vangl2",9.7840234335243,4.93885265138089,3.69000564462368,4.03723373754544,4.6172145459906,7.43748415065908,5.94521736461455,1.28566799781585,8.52333304055334,7.1967821918202,13.5391082202275,8.81197552020952
"Vapa",1145.42960053902,983.654819733361,1165.30378257216,1121.34167060325,1148.76297904246,1161.48710819459,1313.89303757982,1166.10087401897,1156.07389968233,1009.6057303382,1012.04833946201,1004.56520930389
"Vapb",843.52259173313,837.958666517625,896.671371643554,1020.41082716461,986.237027023592,978.648956157557,868.001735233724,849.826546556274,860.081788637656,984.931048537679,772.857427571322,739.104446757574
