"","Kidney_LTDR_rep1","Kidney_LTDR_rep2","Kidney_LTDR_rep3","Kidney_LTAL_rep1","Kidney_LTAL_rep2","Kidney_LTAL_rep3","Kidney_Young_rep1","Kidney_Young_rep2","Kidney_Young_rep3","Kidney_STDR_rep1","Kidney_STDR_rep2","Kidney_STDR_rep3"
"Cdnf",41.7619969472325,37.2305400019409,50.7356432596057,37.2638472033421,17.4420710681352,20.1101497684467,38.4620040981797,42.3280983496394,16.7669333477857,50.5744650304633,26.6470396450988,33.055858982737
"Cdo1",1393.80664811388,1016.1747388765,3472.93661280269,1433.15899703888,803.627274398525,872.65862025502,2062.68005849109,2091.59189431149,1211.79200104451,3168.49023415853,2324.44176596478,2162.15368527993
"Cdon",367.157556494419,242.363515306752,610.464352768804,394.054476173273,256.463044964803,472.283820319581,483.256470846484,360.518630771067,347.532800299557,701.720702297678,322.839134161774,656.609562520729
"Cdr1",0,0,0,0,0,0,0,1.45958959826343,9.14560000788309,10.1148930060927,1.02488614019611,0
"Cdr2",918.763932839115,765.781107098745,1004.8930632709,828.799360212263,757.115084883498,700.198851028644,766.138307439548,1185.1867537899,917.60853412427,887.581861284631,1302.63028418926,1087.83826834098
"Cdr2l",120.065741223293,145.272107066397,106.381187479818,113.933142024011,127.262518534172,200.492099206635,161.292275250431,86.1157862975422,65.5434667231621,132.757970704966,152.70803488922,139.736131154297
"Cdrt4",1.74008320613469,0,4.909900960607,1.71328033118814,1.93800789645947,0,2.4814196192374,0,4.57280000394154,0,3.07465842058833,1.50253904466986
"Cds1",389.77863817417,376.685463549049,404.24851242331,589.368433928721,481.917963586254,446.079685772817,531.023798516804,585.295428903634,574.648533828654,264.251579784171,397.65582239609,195.330075807082
"Cds2",2272.5486672119,2447.72550248054,2199.63563035194,1971.12902103196,1865.65560165831,2209.06948213998,1902.00813814547,1888.70894015287,2016.60480173822,3275.96097234826,2522.24479102263,2946.4790665976
"Cdsn",5.22024961840406,4.3800635296401,27.8227721101064,23.985924636634,12.27405001091,12.1879695566344,14.2681628106151,5.83835839305371,6.09706667192206,3.79308487728475,9.22397526176498,9.01523426801917
"Cdt1",38.2818305349631,44.5306458846744,22.9128711494994,34.2656066237628,36.8221500327299,68.2526295171524,57.6930061472696,40.868508751376,21.3397333517272,44.2526569016554,48.1696485892171,39.0660151614164
"Cdv3",923.984182457519,788.411435335219,1019.62276615272,786.395672015357,696.390837461102,688.620279949841,873.459705971566,805.693458241412,906.938667448406,745.973359199333,695.897689193158,626.558781627332
"Cdx1",0,0.730010588273351,0,2.99824057957925,0,0,41.5637786222265,0,0,2.52872325152316,0,0
"Cdx2",0,0.730010588273351,0,0,0,0,67.6186846242192,0,0,1.26436162576158,1.02488614019611,0
"Cdx4",0,0.730010588273351,0,3.42656066237628,0.646002632153155,5.48458630048546,3.7221294288561,1.45958959826343,4.57280000394154,3.79308487728475,1.02488614019611,0
"Cdyl",165.307904582795,186.152700009704,193.122771117209,198.740518417824,160.208652773983,181.600746393852,144.542692820579,138.661011835026,126.514133442383,214.941476379469,177.305302253927,274.964645174585
"Cdyl2",57.4227458024447,72.2710482390617,60.5554451808197,62.9630521711642,69.7682842725408,84.0969899407771,59.5540708616977,52.5452255374834,54.8736000472985,84.712228926026,112.737475421572,117.198045484249
"Ceacam1",198.369485499354,259.883769425313,181.666335542459,243.714127111513,240.312979160974,288.245480014403,395.166074363556,315.2713532249,411.552000354739,295.86062042821,440.701040284327,336.568746006049
"Ceacam10",0,0,0,0.428320082797035,0,0,30.3973903356582,0,0,2.52872325152316,0,0
"Ceacam11",0,0,0,0.428320082797035,0,0,0,0,0,0,0,0
"Ceacam12",0,0.730010588273351,0,0.428320082797035,0,0,0,0,0,0,0,0
"Ceacam13",0,0,0,0,0,0,0,0,0,0,0,0
"Ceacam14",0,0,0,0,0,0,0,0,0,0,0,0
"Ceacam15",0,0.730010588273351,0,0,0.646002632153155,0.609398477831718,0,0,1.52426666798052,0,1.02488614019611,0
"Ceacam16",0,2.9200423530934,0,0.856640165594071,0,1.21879695566344,0,0,0,1.26436162576158,1.02488614019611,1.50253904466986
"Ceacam18",0,1.4600211765467,0,1.71328033118814,1.29200526430631,3.04699238915859,1.2407098096187,0,0,0,3.07465842058833,1.50253904466986
"Ceacam19",8.70041603067344,8.76012705928021,29.459405763642,19.7027238086636,2.58401052861262,4.87518782265374,4.96283923847481,18.9746647774246,0,2.52872325152316,6.14931684117666,12.0203123573589
"Ceacam2",565.527041993773,380.335516490416,482.806927793022,806.098395824021,986.446019297868,600.866899142074,500.006053276337,767.744128686563,1022.78293421493,566.434008341189,1937.03480497065,1501.03650562519
"Ceacam20",0,0.730010588273351,0,2.99824057957925,2.58401052861262,4.26578934482202,14.8885177154244,0,0,2.52872325152316,0,4.50761713400958
"Ceacam3",1.74008320613469,0.730010588273351,3.27326730707134,2.14160041398518,5.8140236893784,0.609398477831718,2.4814196192374,1.45958959826343,1.52426666798052,3.79308487728475,11.2737475421572,3.00507808933972
"Ceacam5",0,0,0,0,0.646002632153155,0,0,0,0,0,1.02488614019611,1.50253904466986
"Ceacam9",0,0,0,0.428320082797035,0,0,0,0,0,0,0,0
"Cebpa",530.72537787108,540.937845910553,1163.64652766386,571.378990451245,468.351908311038,543.583442225892,931.773067023645,728.33520953345,509.105067105492,773.789314966088,539.090109743153,607.025774046624
"Cebpb",179.228570231873,148.922160007764,250.404948990957,211.590120901735,158.916647509676,301.042848048869,212.781732349607,211.640491748197,79.2618667349868,221.263284508277,231.624267684321,228.385934789819
"Cebpe",3.48016641226937,2.9200423530934,0,2.14160041398518,0,1.82819543349515,0.620354904809351,1.45958959826343,0,1.26436162576158,0,3.00507808933972
"Cebpg",960.525929786347,941.713658872622,1155.46335939618,941.447541987884,873.395558671066,901.909747190942,815.766699824296,776.501666276143,1010.58880087108,1108.84514579291,1001.3137589716,924.061512471965
"Cebpz",878.742019098017,893.532960046581,975.433657507258,942.304182153478,950.269871897292,852.548470486573,965.892586788159,977.925030836496,1039.54986756271,1029.19036336993,810.684936895123,948.102137186683
"Cecr2",127.026074047832,146.00211765467,150.570296125281,133.207545749878,93.0243790300544,105.425936664887,171.217953727381,140.120601433289,196.630400169486,164.367011349006,163.981782431377,109.6853502609
"Cecr5",384.558388555766,300.76436236862,286.410889368742,325.523262925747,359.823466109308,305.918035871522,395.786429268366,345.922734788432,339.911466959655,268.044664661455,321.814248021578,285.482418487274
"Cel",0,0.730010588273351,8.18316826767834,0,1.29200526430631,1.21879695566344,1.2407098096187,1.45958959826343,0,2.52872325152316,3.07465842058833,16.5279294913685
"Cela1",676.892367186393,627.809105915081,471.350492218273,671.177569742954,728.044966436606,566.131185905666,1128.42557184821,788.178383062251,1117.28746762972,346.435085458674,313.615158900009,308.020504157322
"Cela2a",10.4404992368081,0,19.639603842428,1.71328033118814,0.646002632153155,0.609398477831718,0,0,0,1.26436162576158,9.22397526176498,31.5533199380671
"Cela3b",3.48016641226937,0,4.909900960607,0,0,0,0,0,0,0,2.04977228039222,10.517773312689
"Celf1",1397.28681452615,1511.12191772584,1613.72078238617,1336.35865832675,1310.0933380066,1418.67965639224,1415.64989277494,1478.56426304085,1783.3920015372,1545.04990668065,1463.53740820004,1374.82322587292
"Celf2",438.500967945941,517.577507085806,711.935639288016,498.564576375749,423.131724060317,731.278173398061,338.713778025905,443.715237872082,391.736533670992,797.812185855558,642.603609902961,601.015617867945
"Celf3",6.96033282453875,26.2803811778406,52.3722769131414,11.56464223552,7.10602895368471,7.92218021181233,22.3327765731366,33.5705607600588,4.57280000394154,8.85053138033108,12.2986336823533,19.5330075807082
"Celf4",6.96033282453875,22.6303282364739,21.2762374959637,8.99472173873774,16.796068435982,23.766540635437,19.2310020490899,10.217127187844,18.2912000157662,41.7239336501322,31.7714703460794,28.5482418487274
"Celf5",3.48016641226937,0.730010588273351,0,1.28496024839111,0.646002632153155,1.82819543349515,0.620354904809351,1.45958959826343,4.57280000394154,3.79308487728475,1.02488614019611,3.00507808933972
"Celf6",3.48016641226937,0.730010588273351,1.63663365353567,1.28496024839111,1.29200526430631,0.609398477831718,13.0274530009964,1.45958959826343,1.52426666798052,7.58616975456949,0,1.50253904466986
"Celsr1",342.796391608533,340.914944723655,307.687126864706,406.904078657184,330.753347662416,407.078183191588,440.451982414639,386.791243539808,515.202133777414,188.389882238476,463.248535368641,323.04589460402
"Celsr2",415.87988626619,689.129995330043,672.65643160316,597.506515501864,452.201842507209,650.228175846443,562.661898662081,610.108452074113,888.64746743264,225.056369385562,552.413629565703,341.076363140059
"Celsr3",3.48016641226937,5.8400847061868,3.27326730707134,3.85488074517332,6.46002632153156,9.75037564530749,16.7495824298525,4.37876879479028,12.1941333438441,12.6436162576158,4.09954456078444,3.00507808933972
"Cend1",13.9206656490775,8.03011647100686,3.27326730707134,8.56640165594071,11.6280473787568,11.5785710788026,6.20354904809351,11.6767167861074,12.1941333438441,17.7010627606622,8.19908912156887,10.517773312689
"Cenpa",33.0615809165591,31.3904552957541,21.2762374959637,34.6939267065599,52.3262132044056,54.2364645270229,50.2487472895574,23.3534335722148,30.4853333596103,48.0457417789401,36.8959010470599,45.0761713400958
"Cenpb",2411.75532370268,2258.65276011775,1985.23662173877,2328.77629016748,2172.50685193106,2387.01383766684,2568.88966081552,2465.24683146693,2094.34240180523,2065.96689649443,2148.16134985105,2267.33141840682
"Cenpc1",229.690983209779,244.553547071572,337.146532628348,269.413332079335,281.011144986623,270.572924157283,272.956158116114,227.695977329095,291.134933584278,273.102111164502,218.300747861771,220.87323956647
"Cenpe",34.8016641226938,51.1007411791345,24.549504803035,41.5470480313124,47.1581921471804,97.5037564530749,73.2018787675034,26.2726127687417,45.7280000394154,18.9654243864237,33.8212426264716,15.0253904466986
"Cenpf",36.5417473288284,52.5607623556812,39.279207684856,72.386093992699,96.9003948229733,153.568416413593,102.358559293543,35.0301503583223,109.747200094597,6.32180812880791,33.8212426264716,27.0457028040575
"Cenph",6.96033282453875,3.65005294136675,1.63663365353567,4.71152091076739,1.93800789645947,9.14097716747577,11.1663882865683,7.29794799131714,4.57280000394154,3.79308487728475,2.04977228039222,3.00507808933972
