"","Blood_Young_rep1","Blood_Young_rep2","Blood_Young_rep3","Blood_LTDR_rep2","Blood_LTDR_rep3","Blood_LTAL_rep2","Blood_LTAL_rep3","Blood_STDR_rep1","Blood_STDR_rep2","Blood_STDR_rep3"
"Pkib",18.4283636777435,12.8886132174508,24.5957393407618,23.7923817400849,15.0961528765971,5.73430385026711,15.7442347444765,12.000916433255,17.3848372608919,10.0106611409058
"Pkig",117.736767941139,147.242641908453,156.255285223663,172.807825270091,82.3426520541659,112.774642388586,183.205640662999,285.198249355,162.258481101658,222.111544063847
"Pklr",4.09519192838744,5.46789651649426,4.3404245895462,1.25223061789921,6.86188767118049,3.8228692335114,5.72517627071873,1.41187252155941,11.5898915072613,0.625666321306612
"Pkm2",1054.51192155977,397.203625519619,394.978637648704,1281.03192211089,1313.36530026395,2588.08247108722,2135.49074897808,543.570920800372,963.409731541094,680.099291260288
"Pkmyt1",15.3569697314529,19.1376378077299,20.9787188494733,11.2700755610929,12.3513978081249,15.2914769340456,10.0190584737578,13.4127889548144,18.8335736992996,10.0106611409058
"Pkn1",222.164162115019,190.204685966622,207.61697619996,214.131435660764,175.664324382221,214.080677076639,191.793405069077,326.848488741003,270.913713982233,244.635531630886
"Pkn2",712.563395539415,566.708417530941,894.127465446517,1323.60776311946,1303.75865752429,1899.96600905517,1982.34228373636,570.396498710001,772.176521671283,401.677778278845
"Pkn3",9.21418183887175,12.4980491805583,10.1276573756078,5.00892247159683,4.11713260270829,15.2914769340456,8.58776440607809,14.1187252155941,7.2436821920383,9.38499481959919
"Pknox1",96.2370103171049,114.435262809487,114.297847524717,111.448524993029,107.045447670416,84.1031231372509,88.7402321961403,81.1826699896659,72.436821920383,85.7162860190059
"Pknox2",9.21418183887175,1.56225614756979,8.6808491790924,0,12.3513978081249,0,0,1.41187252155941,0,1.87699896391984
"Pkp1",9.21418183887175,2.34338422135468,7.234040982577,0,12.3513978081249,1.9114346167557,2.86258813535936,1.41187252155941,0,0.625666321306612
"Pkp2",5.11898991048431,3.12451229513958,2.8936163930308,0,6.86188767118049,0,1.43129406767968,5.64749008623763,13.0386279456689,2.50266528522645
"Pkp3",46.0709091943588,47.6488125008786,64.3829647449353,45.0803022443715,60.3846115063883,38.228692335114,37.2136457596717,73.4173711210892,47.8083024674528,101.357944051671
"Pkp4",30.7139394629058,30.4639948776109,19.5319106529579,18.7834592684881,17.8409079450693,26.7600846345798,30.0571754212733,11.2949801724753,34.7696745217839,23.7753202096513
"Pla1a",4.09519192838744,1.56225614756979,3.6170204912885,0,1.3723775342361,0,1.43129406767968,0.705936260779704,7.2436821920383,0.625666321306612
"Pla2g10",4.09519192838744,0.781128073784895,2.8936163930308,0,1.3723775342361,9.55717308377851,5.72517627071873,2.82374504311881,0,0.625666321306612
"Pla2g12a",99.3084042633955,23.4338422135468,17.3616983581848,107.691833139332,142.727263560554,269.512280962554,184.636934730679,44.4739844291213,62.2956668515294,53.1816373110621
"Pla2g12b",1.02379798209686,0.390564036892447,2.8936163930308,0,0,0,0,0,0,0.625666321306612
"Pla2g15",39.9281213017776,32.8073790989656,15.9148901616694,35.0624573011778,15.0961528765971,32.4943884848469,50.0952923687889,38.120558082104,82.5779769892367,85.7162860190059
"Pla2g16",1832.59838795338,927.19902358267,1616.80815960596,3017.87578913709,2595.16591724046,9167.24042196034,9078.69827129222,903.598413798021,2022.43606801709,793.970561738091
"Pla2g1b",1.02379798209686,0.390564036892447,0,0,2.7447550684722,0,0,0,0,0
"Pla2g2c",4.09519192838744,1.95282018446224,2.8936163930308,0,10.9790202738888,0,0,0,0,0
"Pla2g2d",7.16658587467803,1.95282018446224,4.3404245895462,0,2.7447550684722,0,0,7.05936260779704,1.44873643840766,0
"Pla2g2e",2.04759596419372,1.17169211067734,1.4468081965154,0,0,0,0,0,0,0
"Pla2g2f",5.11898991048431,2.34338422135468,8.6808491790924,0,8.23426520541659,3.8228692335114,0,0,0,0
"Pla2g3",12.2855757851623,5.07733247960182,1.4468081965154,2.50446123579841,6.86188767118049,1.9114346167557,2.86258813535936,0.705936260779704,0,0
"Pla2g4a",111.593980048558,24.2149702873317,20.2553147512156,100.178449431937,105.67307013618,120.420380855609,203.243757610515,29.6493229527476,49.2570389058605,44.4223088127695
"Pla2g4b",33.7853334091964,35.1507633203203,46.2978622884928,30.053534829581,20.5856630135415,28.6715192513355,17.1755288121562,33.8849405174258,27.5259923297456,15.0159917113587
"Pla2g4c",9.21418183887175,3.90564036892447,10.8510614738655,15.0267674147905,20.5856630135415,11.4686077005342,21.4694110151952,9.17717139013615,5.79494575363064,1.87699896391984
"Pla2g4d",4.09519192838744,2.34338422135468,3.6170204912885,1.25223061789921,5.48951013694439,0,0,0,0,0
"Pla2g4e",4.09519192838744,4.29620440581692,7.234040982577,1.25223061789921,9.60664273965269,0,1.43129406767968,0.705936260779704,0,0
"Pla2g4f",6.14278789258117,2.34338422135468,4.3404245895462,2.50446123579841,12.3513978081249,0,0,0.705936260779704,0,0.625666321306612
"Pla2g5",4.09519192838744,2.34338422135468,6.5106368843193,1.25223061789921,6.86188767118049,0,0,0,0,0
"Pla2g6",14.3331717493561,23.4338422135468,15.9148901616694,10.0178449431937,16.4685304108332,11.4686077005342,17.1755288121562,26.119641648849,18.8335736992996,23.1496538883447
"Pla2g7",287.687232969218,95.6881890386496,15.9148901616694,366.903571044468,253.889843833678,319.209580998202,496.659041484849,157.423786153874,463.595660290451,257.148858057018
"Pla2r1",8.19038385677489,4.68676844270937,9.4042532773501,0,10.9790202738888,0,2.86258813535936,1.41187252155941,14.4873643840766,1.25133264261322
"Plaa",135.141333636786,183.56509733945,165.659538501013,117.709678082525,161.94054903986,152.914769340456,193.224699136757,154.600041110755,134.732488771912,137.020924366148
"Plac1",2.04759596419372,0.390564036892447,1.4468081965154,0,1.3723775342361,0,0,0,0,0
"Plac1l",0,3.90564036892447,0,2.50446123579841,0,0,4.29388220303904,4.94155382545793,1.44873643840766,1.87699896391984
"Plac8",825.18117357007,752.616899091746,906.425335116898,993.018879994071,366.424801641038,890.728531408157,1233.77548633989,517.451279151523,775.073994548098,1011.70244155279
