"","Heart_Young_rep1","Heart_Young_rep2","Heart_Young_rep3","Heart_LTDR_rep1","Heart_LTDR_rep2","Heart_LTDR_rep3","Heart_LTAL_rep1","Heart_LTAL_rep2","Heart_LTAL_rep3","Heart_STDR_rep1","Heart_STDR_rep2","Heart_STDR_rep3"
"Gm12776",0,0,0,0.753800848259181,0,0,0,0.715161334084534,0,0,1.99697729315497,0
"Gm12789",0,0,0,0,0,0,0,0,0,0,0,0
"Gm12790",0,0,0,0,0,0,0,0,0,0,0,0
"Gm12794",1.02947528571812,0,0,0,0,0,0,0.715161334084534,0,0,0,0
"Gm128",2.05895057143624,8.32264907366626,4.58475313025233,6.03040678607345,3.32690274675591,7.37683964428934,3.12248834626358,4.29096800450721,1.17574928128525,5.34563434810873,1.99697729315497,0
"Gm12800",0,0,0,0,0,0,0,0.715161334084534,0,0,0,0
"Gm12824",191.48240314357,101.060738751662,193.323756992307,110.05492384584,290.549506550016,116.017568951096,164.711260265404,163.771945505358,353.90053366686,96.2214182659571,309.531480439021,418.02468419105
"Gm12830",0,0,0,0,0,0,0,0,0,0,0,0
"Gm12886",0,0,0,0,0,0,0,0,0,0,0,0
"Gm12887",0,0,0,0,0,0,0,0,0,0,0,0
"Gm12888",0,0,0,0,0,0,0,0,0,0,0,0
"Gm129",12.3537034286174,7.13369920599965,11.4618828256308,12.8146144204061,47.6856060368347,14.0830575027342,8.58684295222484,6.43645200676081,10.5817435315672,8.90939058018122,25.9607048110147,30.6245189883553
"Gm12942",57.6506160002147,90.3601899426622,50.4322844327757,91.9637034876201,32.1600598853071,75.1096400145823,59.327278579008,99.4074254377503,45.8542219701247,62.3657340612685,39.9395458630995,36.7494227860264
"Gm13011",1.02947528571812,0,0,0,0,0,0,0,0,0,0,0
"Gm13023",1.02947528571812,0,0,0,0,0,0,0,0,0,0,0
"Gm13030",0,0,0,0.753800848259181,0,1.34124357168897,0,0,0,0,0,0
"Gm13040",0,0,0,0,0,0,0,0,0,0,0,0
"Gm13043",0,0,0,0,0,0,0,0,0,0,0,0
"Gm1305",8.23580228574496,2.37789973533322,9.93363178221339,1.50760169651836,4.43587032900788,2.01186535753346,2.34186625969768,0,9.405994250282,5.34563434810873,5.99093187946492,15.3122594941777
"Gm13051",0,0,0,0,1.10896758225197,1.34124357168897,0.780622086565894,0,0,0,0,0
"Gm13057",0,0,0,0,0,0,0,0,0,0,0,0
"Gm13060",2.05895057143624,0,1.52825104341744,1.50760169651836,2.21793516450394,3.35310892922243,0,0.715161334084534,0,1.78187811603624,0,0
"Gm13078",0,0,0,0,0,0,0,0.715161334084534,0,0,0,0
"Gm13083",0,0,0,0,0,0,0,0,0,0,0,0
"Gm13084",0,0,0,0,0,0,0,0,0,0,0,0
"Gm13088",0,0,0,0,0,0,0,0,0,0,0,0
"Gm13089",0,0,0,0,0,0,0,0,0,0,0,0
"Gm13090",2.05895057143624,3.56684960299982,2.29237656512617,1.50760169651836,5.54483791125985,0,1.56124417313179,0.715161334084534,4.702997125141,1.78187811603624,5.99093187946492,6.12490379767107
"Gm13101",0,0,0,0,0,0,0,0,0,0.890939058018122,0,0
"Gm13102",0,0,0,0,0,0.670621785844485,0.780622086565894,0,0,0,0,0
"Gm13103",0,0,0,0,0,0,0,0,0,0,0,0
"Gm13109",0,0,0,0,0,0,0,0,0,0,0,0
"Gm13119",0,0,0.764125521708722,0.753800848259181,0,0,0,0,0,0,0,0
"Gm13124",0,0,0,0,0,0,0,0,0,0,0,0
"Gm13125",1.02947528571812,0,0,0,0,0,0,0,0,0,0,0
"Gm13128",0,0,0,0,0,0,0,0,0,0,0,0
"Gm13138",0,0,0,0,0,0,0,0,0,0,0,0
"Gm13139",23.6779315715167,45.1800949713311,34.3856484768925,39.1976441094774,32.1600598853071,38.8960635789801,40.5923485014265,57.2129067267628,49.3814698139805,35.6375623207249,13.9788410520848,13.7810335447599
"Gm13145",0,1.18894986766661,0,0,0,0,0,0,1.17574928128525,0.890939058018122,0,0
"Gm13151",0,0,0,0,0,0,0,0,0,0,0,0
"Gm13152",40.1495361430067,45.1800949713311,55.017037563028,63.3192712537712,36.595930214315,38.8960635789801,42.9342147611242,36.4732280383113,52.9087176578362,32.9647451466705,23.9637275178597,39.8118746848619
"Gm13154",26.7663574286711,9.51159894133286,34.3856484768925,0.753800848259181,63.2111521883623,6.70621785844485,32.7861276357676,35.7580667042267,81.1267004086822,5.34563434810873,7.98790917261989,22.9683892412665
"Gm13157",156.480243429154,156.941382531992,156.645731950288,183.92740697524,168.563072502299,151.560523600854,181.884946169853,223.130336234375,198.701628537207,144.332127398936,51.9214096220293,110.248268358079
"Gm13177",1.02947528571812,0,0,0,0,0,0,0,0,0.890939058018122,0,0
"Gm13178",0,0,0,0,0,0,0,0,0,0,1.99697729315497,0
"Gm13199",8.23580228574496,3.56684960299982,5.34887865196106,9.04561017911017,6.65380549351182,7.37683964428934,4.68373251939537,4.29096800450721,3.52724784385575,6.23657340612685,1.99697729315497,3.06245189883553
"Gm13212",60.7390418573691,59.4474933833304,62.6582927801152,106.285919604545,103.133985149433,109.981972878496,116.312690898318,89.3951667605668,96.4114410653904,82.8573323956853,39.9395458630995,61.2490379767107
"Gm13225",1.02947528571812,1.18894986766661,0,0,0,0,0.780622086565894,0,0,0,0,0
"Gm13235",0,0,0,0,0,0,0,0.715161334084534,0,0.890939058018122,0,0
"Gm13242",7.20632700002684,0,1.52825104341744,2.26140254477754,1.10896758225197,0,2.34186625969768,2.86064533633814,4.702997125141,0,0,0
"Gm13247",1.02947528571812,1.18894986766661,0,0.753800848259181,0,3.35310892922243,1.56124417313179,3.57580667042267,1.17574928128525,1.78187811603624,1.99697729315497,0
"Gm13251",25.736882142953,11.8894986766661,21.3955146078442,54.273661074661,19.9614164805355,40.2373071506691,36.689238068597,55.0674227245092,30.5694813134165,29.400988914598,9.98488646577487,9.1873556965066
"Gm13271",0,0,1.52825104341744,0.753800848259181,0,0,0,0,0,0,0,0
"Gm13272",0,0,0,0,2.21793516450394,0,0,0,0,0,0,0
"Gm13275",1.02947528571812,0,0,0,0,0,0,0,0,0,1.99697729315497,0
"Gm13276",0,0,0,0,0,0,0,0,0,0,0,0
"Gm13277",0,0,0,0,0,0,0,0,0,0,0,0
"Gm13278",0,0,0,0,0,0,0,0,0,0,0,0
"Gm13279",0,0,0,0,0,0,0,0,0,0,0,0
"Gm13280",1.02947528571812,0,0,0,0,0,0,0,0,0,0,0
"Gm13283",1.02947528571812,1.18894986766661,1.52825104341744,0.753800848259181,1.10896758225197,3.35310892922243,0,0.715161334084534,2.3514985625705,2.67281717405436,0,1.53122594941777
"Gm13285",1.02947528571812,0,0,0,0,0,0,0,1.17574928128525,0,0,0
