"","Muscle_LTDR_rep1","Muscle_LTDR_rep2","Muscle_LTDR_rep3","Muscle_LTAL_rep1","Muscle_LTAL_rep3","Muscle_Young_rep1","Muscle_Young_rep2","Muscle_Young_rep3","Muscle_STDR_rep1","Muscle_STDR_rep2"
"Blm",22.6240577855638,24.3679992511259,21.438466273856,24.5784567929808,12.0786306674503,23.5234439641193,27.2970903651568,30.0167190932964,43.5203531638638,68.5009159442257
"Blmh",314.851470849096,215.110614078905,291.563141324442,275.48353655466,317.064055020569,300.376284464908,289.701378391503,279.798702976798,242.602819764517,218.676000898874
"Blnk",54.6748063151124,17.6457925611601,20.5809276229018,151.567150223381,53.3472854479053,48.8563836177862,29.0581929693604,47.1691300037515,30.556843710798,78.1613015261037
"Bloc1s1",188.533814879698,157.13158137795,189.516041860887,92.1692129736779,150.982883343128,121.236211199692,154.096477867821,167.236006376937,219.453695741186,143.14934998601
"Bloc1s2",18.8533814879698,21.006895906143,20.5809276229018,21.5061496938582,18.1179460011754,12.6664698268335,17.6110260420366,15.0083595466482,25.0010539451984,14.9296868083569
"Bloc1s3",34.8787557527441,22.6874475786345,30.0138527833984,36.8676851894712,35.2293394467299,50.6658793073339,38.7442572924806,42.8810272761377,36.1126334763976,25.4682892613147
"Blvra",201.731181921277,204.18702820771,209.239430832835,137.229717094143,168.094276788683,88.6652887878342,176.110260420366,101.842439780827,141.672639022791,107.142458271738
"Blvrb",147.999044680563,174.77737393911,214.38466273856,142.350228926014,232.513640348417,110.379237062406,133.843797919478,92.194208643696,170.377552811722,216.041350285635
"Blzf1",230.011254153232,236.957785821293,207.524353530926,164.880480986246,189.231880456721,220.758474124812,177.87136302457,189.748545696909,206.49018628812,164.226554891926
"Bmf",52.7894681663155,57.9790327009548,50.5947804063001,101.386134271046,69.4521263378389,63.3323491341673,58.1163859387209,49.3131813675583,186.118957147588,151.053301825728
"Bmi1",574.08546630868,680.623427359034,604.564748922739,427.050686778041,468.046938363697,437.897956870528,457.886677092952,498.491942085101,362.978264685843,272.247230034743
"Bmp1",229.068585078833,306.700680229688,270.98221370154,219.157906404079,416.712758027034,427.040982733242,413.859111987861,362.344680483363,263.900013865983,512.000435839533
"Bmp10",0,0,0,1.0241023663742,0,1.80949568954764,1.76110260420366,0,0,0
"Bmp15",0.94266907439849,1.68055167249144,0.85753865095424,1.0241023663742,0,0,4.40275651050916,0,0,2.63465061323945
"Bmp2",57.5028135383079,64.7012393909205,56.5975509629798,46.084606486839,54.3538380035261,86.8557930982866,47.5497703134989,58.9614125046893,76.8550917574616,64.1098315888266
"Bmp2k",309.195456402705,210.909234897676,293.27821862635,458.797860135641,350.280289356057,329.32821549767,266.807044536855,318.391627525322,240.750889842651,315.279856717654
"Bmp3",56.5601444639094,57.9790327009548,39.446777943895,218.133804037704,49.3210752254219,12.6664698268335,29.0581929693604,22.5125393199723,28.7049137889314,142.27113311493
"Bmp4",36.7640939015411,43.6943434847775,66.0304761234765,18.4338425947356,43.2817598916967,36.1899137909528,44.9081164071934,37.5208988666205,143.524568944657,121.193928209015
"Bmp5",174.393778763721,70.5831702446406,117.482795180731,38.9158899222196,139.910805231299,175.521081886121,90.6967841164886,97.5543370532132,35.1866685154644,210.772049059156
"Bmp6",38.6494320503381,51.256826010989,45.4495485005747,51.20511831871,75.4914416715641,61.5228534446197,49.3108729177026,68.6096436418203,61.113687421596,96.6038558187798
"Bmp7",4.71334537199245,29.4096542686002,8.5753865095424,12.2892283964904,24.1572613349005,10.8569741372858,18.4915773441385,18.2244365923585,10.185614570266,20.1989880348358
"Bmp8a",2.82800722319547,5.88193085372005,16.2932343681306,6.1446141982452,9.05897300058769,5.42848706864291,1.76110260420366,2.14405136380688,8.33368464839945,24.5900723902349
"Bmp8b",1.88533814879698,3.36110334498288,0.85753865095424,2.0482047327484,3.01965766686256,3.61899137909528,11.4471669273238,1.07202568190344,0.925964960933273,0.878216871079816
"Bmper",167.795095242931,105.034479530715,141.49387740745,95.2415200728005,217.415352014105,130.28368964743,131.202144013173,90.0501572798891,224.083520545852,172.130506731644
"Bmpr1a",1055.78936332631,1237.72630678995,1107.93993703288,962.656224391747,1046.81465784569,1167.12471975823,1223.96630992155,1310.01538328601,827.812675074346,859.77431678714
"Bmpr1b",64.1014970590973,64.7012393909205,46.3070871515289,24.5784567929808,43.2817598916967,95.9032715460248,64.2802450534337,35.3768475028136,68.5214071090622,61.4751809755871
"Bmpr2",473.219875348042,473.915571642587,458.783178260518,428.074789144415,408.660337582067,550.086689622482,472.856049228684,498.491942085101,477.797919841569,391.684724501598
"Bms1",280.91538417075,296.61737019474,291.563141324442,295.965583882144,325.116475465536,336.566198255861,274.732006255771,363.416706165267,330.569491053178,302.106603651457
"Bmx",6.59868352078943,13.4444133799315,11.1480024624051,7.16871656461939,2.01310511124171,9.04747844773819,6.16385911471282,7.5041797733241,9.25964960933273,41.2761929407514
"Bmyc",6.59868352078943,3.36110334498288,8.5753865095424,10.241023663742,15.0982883343128,7.23798275819055,7.04441041681465,12.8643081828413,28.7049137889314,10.5386024529578
"Bnc1",0,1.68055167249144,1.71507730190848,7.16871656461939,2.01310511124171,0,0,0,0,0.878216871079816
"Bnc2",259.233995459585,268.047991762385,351.590846891238,164.880480986246,289.887136018806,124.855202578787,181.393568232977,167.236006376937,216.675800858386,195.842362250799
"Bnip1",151.769720978157,211.749510733922,169.792652888939,110.603055568414,209.362931569138,184.568560333859,147.052067451006,207.972982289268,223.157555584919,130.854313790893
"Bnip2",759.791273965183,715.915012481354,751.203858235914,699.461916233578,731.763707936361,767.226172368198,711.48545209828,696.816693237237,529.651957653832,604.213207302914
"Bnip3",1346.13143824104,1917.50945831274,1899.44811186364,854.101373556082,800.209281718579,1266.64698268335,1172.89433439964,1013.06426939875,2271.39204916932,1139.04728179052
"Bnip3l",726.797856361236,806.664802795892,780.360172368358,530.485025781835,569.708746481404,555.515176691125,686.830015639429,471.691300037515,691.695825817155,706.086364348172
"Bnipl",1.88533814879698,0.840275836245721,1.71507730190848,6.1446141982452,2.01310511124171,0,6.16385911471282,3.21607704571033,4.62982480466636,1.75643374215963
"Boc",110.292281704623,80.6664802795892,125.200643039319,113.675362667536,160.041856343716,115.807724131049,120.635528387951,108.274593872248,255.566329217583,318.792724201973
"Bod1",659.868352078943,755.407976784903,623.430599243732,347.170702200854,808.261702163546,709.322310302674,633.116386211217,736.481643467665,787.070216793282,617.386460369111
"Bod1l",661.75369022774,631.887428856782,565.975509629798,703.558325699075,567.695641370162,725.607771508603,679.785605222614,689.312513463913,688.917930934355,769.317979065919
"Bok",25.4520650087592,32.7707576135831,42.876932547712,32.7712757239744,18.1179460011754,21.7139482745716,28.1776416672586,25.7286163656826,43.5203531638638,27.2247230034743
"Bola1",176.279116912518,128.562202945595,146.639109313175,67.5907561806971,139.910805231299,88.6652887878342,99.502297137507,122.210927736992,214.823870936519,132.610747533052
"Bola2",132.916339490187,128.562202945595,148.354186615083,94.2174177064263,139.910805231299,75.9988189610008,105.66615625222,111.490670917958,250.010539451984,158.957253665447
"Bola3",1126.4895439062,1406.62174987534,1225.42273221361,441.38811990728,1068.95881406935,930.080784427486,810.987749235787,1072.02568190344,1198.19865944765,955.49995573484
"Boll",7.54135259518792,0.840275836245721,5.14523190572544,4.0964094654968,7.04586788934598,1.80949568954764,5.28330781261099,3.21607704571033,6.48175472653291,4.39108435539908
"Bop1",151.769720978157,184.020408137813,184.370809955162,165.90458335262,198.290853457308,141.140663784716,141.768759638395,201.540828197847,176.859307538255,151.931518696808
"Bpgm",453.423824785674,511.727984273644,418.478861665669,193.555347244724,622.049479373688,370.946616357266,291.462480995706,391.289373894756,442.611251326104,751.753641644323
"Bphl",196.075167474886,234.436958312556,256.404056635318,151.567150223381,210.369484124759,246.091413778479,188.437978649792,166.163980695034,125.005269725992,122.950361951174
"Bpi",0,0,0.85753865095424,2.0482047327484,0,0,0.880551302101832,1.07202568190344,0.925964960933273,0
"Bpil1",2.82800722319547,0,0.85753865095424,10.241023663742,0,1.80949568954764,6.16385911471282,4.28810272761377,0,0
"Bpil2",0,0,0.85753865095424,3.0723070991226,0,0,2.64165390630549,1.07202568190344,0,0.878216871079816
"Bpil3",0.94266907439849,0,0,1.0241023663742,0,0,0.880551302101832,0,0,1.75643374215963
"Bpnt1",324.278161593081,363.839437094397,361.023772051735,385.062489756699,311.024739686844,206.282508608431,257.120980213735,220.837290472109,229.639310311452,117.681060724695
"Bptf",615.562905582214,555.422327758422,486.224415091054,730.184987224804,567.695641370162,645.989961168507,621.669219283893,668.944025507748,650.953367536091,783.369449003196
"Braf",306.367449179509,322.665921118357,334.440073872154,377.893773192079,283.847820685081,255.138892226217,372.473200789075,255.142112293019,295.382822537714,317.914507330894
"Brap",339.360866783456,486.519709186273,509.377958666818,282.652253119279,370.411340468474,410.755521527314,331.96784089239,353.768475028136,447.241076130771,372.363953337842
"Brca1",12.2546979671804,5.04165501747433,12.0055411133594,23.5543544266066,16.1048408899337,14.4759655163811,11.4471669273238,12.8643081828413,20.371229140532,77.2830846550238
"Brca2",55.6174753895109,45.3748951572689,41.1618552458035,77.8317798444391,47.3079701141802,63.3323491341673,67.802450261841,33.2327961390067,37.9645633982642,94.8474220766202
"Brcc3",287.514067691539,287.374335996037,316.431762202114,224.27841823595,234.526745459659,233.424943951645,251.837672401124,240.133752746371,301.864577264247,250.291808257748
"Brd1",367.640939015411,384.84633300054,283.845293465853,319.51993830875,321.090265243052,265.995866363503,287.940275787299,364.48873184717,327.791596170378,363.581784627044
"Brd2",724.912518212439,798.262044433435,689.461075367209,662.594231044107,656.272266264797,640.561474099864,605.81929584606,631.423126641127,817.62706050408,745.606123546764
"Brd3",173.451109689322,202.506476535219,165.504959634168,231.447134800569,196.277748346067,265.995866363503,184.915773441385,277.654651612992,176.859307538255,235.362121449391
"Brd4",246.979297492404,241.999440838768,263.264365842952,280.604048386531,250.631586349593,293.138301706717,270.329249745262,336.616064117681,237.047029998918,312.645206104415
"Brd7",413.831723660937,410.894883924158,387.607470231316,315.423528843253,355.313052134162,479.516357730124,364.548239070158,464.18712026419,335.199315857845,413.640146278594
"Brd8",219.641894334848,184.860683974059,192.946196464704,256.02559159355,195.271195790446,258.757883605312,257.120980213735,274.438574567281,228.713345350518,323.183808557372
"Brd9",113.120288927819,121.83999625563,108.049870020234,159.759969154375,136.891147564436,166.473603438383,151.454823961515,127.57105614651,154.636148475857,161.591904278686
"Brdt",35.8214248271426,17.6457925611601,26.5836981795814,26.6266615257292,28.1834715573839,25.3329396536669,37.8637059903788,33.2327961390067,24.0750889842651,25.4682892613147
"Bre",158.368404498946,219.311993260133,228.962819804782,168.976890451743,188.2253279011,103.141254304215,125.918836200562,151.155621148385,193.526676835054,152.809735567888
"Brf1",135.744346713383,136.964961308053,132.060952246953,171.025095184491,135.884595008815,126.664698268335,124.157733596358,201.540828197847,167.599657928922,223.067085254273
"Brf2",47.1334537199245,50.4165501747433,48.0221644534374,37.8917875558454,30.1965766686256,41.6184008595957,54.5941807303136,51.4572327313652,49.0761429294634,51.8147953937092
"Bri3",37.7067629759396,91.5900661507836,78.0360172368358,49.1569135859616,43.2817598916967,63.3323491341673,58.1163859387209,60.0334381865928,92.5964960933273,78.1613015261037
"Bri3bp",62.2161589103004,98.3122728407494,123.485565737411,95.2415200728005,53.3472854479053,132.093185336978,112.710566669034,80.4019261427582,51.8540378122633,75.5266509128642
"Brip1",13.1973670415789,8.40275836245721,9.43292516049664,21.5061496938582,13.0851832230711,16.2854612059287,16.7304747399348,7.5041797733241,9.25964960933273,31.6158073588734
"Brix1",163.081749870939,163.853788067916,139.778800105541,109.578953202039,139.910805231299,142.950159474263,140.007657034191,132.931184556027,172.229482733589,135.245398146292
"Brms1",38.6494320503381,50.4165501747433,48.8797031043917,55.3015277842068,49.3210752254219,54.2848706864291,36.1026033861751,46.097104321848,89.8186012105274,76.404867783944
"Brms1l",106.521605407029,137.805237144298,118.340333831685,104.458441370168,102.668360673327,103.141254304215,137.366003127886,162.947903649323,89.8186012105274,106.264241400658
"Brox",0,0,0,0,0,0,0,0,0,0
"Brp44",3101.38125477103,3656.04016350513,3502.18785049712,1322.11615498909,2155.02902158425,2428.34321537293,2831.85298755949,2436.71437496652,2175.09169323226,1941.73750195747
"Brp44l",725.855187286837,581.470878682039,589.129053205563,270.363024722789,316.057502464948,294.947797396265,339.892802611307,273.366548885378,419.462127302772,276.638314390142
"Brpf1",145.171037457367,188.221787319042,210.096969483789,168.976890451743,157.022198676853,148.378646542906,146.171516148904,189.748545696909,179.637202421055,233.605687707231
"Brpf3",141.400361159774,120.159444583138,143.208954709358,163.856378619872,127.832174563848,106.760245683311,110.949464064831,115.778773645572,141.672639022791,228.336386480752
"Brs3",0,0,0,0,0,0,4.40275651050916,0,0,0
"Brsk1",1.88533814879698,4.20137918122861,5.14523190572544,4.0964094654968,10.0655255562085,12.6664698268335,38.7442572924806,10.7202568190344,14.8154393749324,13.1732530661972
"Brsk2",6.59868352078943,7.56248252621149,3.43015460381696,13.3133307628646,6.03931533372513,5.42848706864291,75.7274119807575,10.7202568190344,10.185614570266,9.66038558187798
"Brwd1",583.512157052665,568.866741138353,556.542584469302,792.65523157363,454.961755140626,881.224400809699,758.154671109677,836.180031884685,662.990912028223,664.810171407421
