"","Skin_LTDR_rep1","Skin_LTDR_rep3","Skin_LTAL_rep1","Skin_LTAL_rep2","Skin_Young_rep1","Skin_Young_rep2","Skin_Young_rep3","Skin_STDR_rep1","Skin_STDR_rep2","Skin_STDR_rep3"
"Bahcc1",86.1295589162717,83.3104266711691,135.02527811266,107.074980779615,68.5898410235667,49.5326051413082,63.3610957753864,111.394368960721,75.4923650620845,57.5468046719295
"Bahd1",70.8014170752403,71.1414879439197,84.4773534858694,84.2557225806809,65.6076740225421,57.5649194885473,60.0263012608923,103.8165207321,79.4656474337732,81.9195690035702
"Bai1",1.45982303247918,6.55250546851892,2.76974929461867,3.51065510752837,0,5.35487623149277,6.66958902898804,1.51556964572409,9.6494000455296,2.03106369430339
"Bai2",16.7879648735106,11.232866517461,15.9260584440574,14.6277296147015,14.9108350051232,14.7259096366051,13.3391780579761,4.54670893717228,7.37895297599322,10.155318471517
"Bai3",2.91964606495836,0,3.46218661827334,5.26598266129256,5.96433400204928,4.01615717361958,3.33479451449402,0,6.81134120860913,3.38510615717232
"Baiap2",244.520357940263,232.145908027527,285.976614669378,296.065247401559,134.197515046109,111.113681803475,130.056986065267,273.560321053199,328.64721331539,186.857859875912
"Baiap2l1",54.0134522017297,67.397199104766,73.3983563073947,97.7132338262063,41.750338014345,13.3871905787319,23.3435616014581,44.7093045488607,30.6510354387411,40.6212738860679
"Baiap2l2",1.45982303247918,0,3.46218661827334,3.51065510752837,2.98216700102464,2.67743811574639,0,2.27335446858614,6.24372944122503,0.677021231434465
"Baiap3",13.1384072923126,0,6.92437323654667,15.2128387992896,8.94650100307392,1.33871905787319,3.33479451449402,12.8823419886548,6.24372944122503,3.38510615717232
"Bak1",59.1228328154068,67.397199104766,43.623551390244,50.3193898745733,92.4471770317639,84.3393006460112,63.3610957753864,58.3494313603776,63.5725179470185,113.062545649556
"Bambi",9.48884971111468,28.0821662936525,20.77311970964,29.8405684139912,32.803837011271,14.7259096366051,6.66958902898804,18.1868357486891,27.8129766018206,24.3727643316407
"Banf1",57.6630097829277,82.3743544613807,41.54623941928,57.9258092742181,74.554175025616,195.452982449486,93.3742464058325,75.0206974633426,144.741000682944,117.801694269597
"Banf2",0,0,0,0,0,0,0,0,19.2988000910592,0
"Bank1",24.0870800359065,23.4018052447104,13.8487464730933,25.1596949372867,44.7325050153696,26.7743811574639,46.6871232029163,29.5536080916198,41.4356590190389,81.9195690035702
"Banp",191.236817254773,101.095798657149,96.2487879879988,114.68140017926,74.554175025616,120.484715208587,93.3742464058325,76.5362671090667,102.170118129137,114.416588112425
"Bap1",143.792568699199,142.282975887839,150.258899233063,163.830571684657,134.197515046109,261.050216285273,153.400547666725,223.546522744304,303.104683783106,125.92594904681
"Bard1",9.48884971111468,18.7214441957683,17.3109330913667,28.085240860227,17.8930020061478,10.7097524629855,13.3391780579761,5.30449376003432,17.0283530215228,19.6336157115995
"Barhl1",0.729911516239591,0,0.692437323654667,3.51065510752837,2.98216700102464,0,0,0.757784822862046,3.40567060430456,0.677021231434465
"Barhl2",0,0,0,0,0,0,0,0,0,0.677021231434465
"Barx1",0,0,0,0,0,1.33871905787319,0,0,0,1.35404246286893
"Barx2",59.1228328154068,69.2693435243428,49.1630499794814,102.979216487499,71.5720080245914,20.0807858680979,33.3479451449402,21.9757598629993,39.7328237168866,23.0187218687718
"Basp1",35.7656642957399,37.4428883915367,33.236991535424,34.5214418906956,161.037018055331,77.6457053566452,83.3698628623505,15.913481280103,28.3805883692047,87.3357388550459
"Batf",12.408495776073,7.48857767830733,6.92437323654667,13.4575112455254,14.9108350051232,5.35487623149277,3.33479451449402,6.06227858289637,14.7579059519864,29.7889341831164
"Batf2",21.1674339709481,10.2967943076726,4.154623941928,6.43620103046868,8.94650100307392,10.7097524629855,10.0043835434821,4.54670893717228,9.0817882781455,12.1863821658204
"Batf3",18.9776994222294,6.55250546851892,8.30924788385601,9.94685613799705,5.96433400204928,6.69359528936597,3.33479451449402,3.78892411431023,3.97328237168866,6.09319108291018
"Bax",71.5313285914799,63.6529102656123,69.9361696891214,63.1917919355107,38.7681710133203,93.7103340511236,50.0219177174103,53.8027224232053,47.1117766928798,69.0561656063154
"Baz1a",310.942305918066,339.794212153195,317.828731557492,332.927126030607,402.592545138326,156.630129771164,180.078903782677,248.553421898751,315.592142665556,329.709339708584
"Baz1b",941.585855949072,869.611082893439,756.833994754551,789.897399193884,647.130239222347,799.215277550296,923.738080514843,1106.36584137859,803.738262615877,987.773976662884
"Baz2a",573.710451764318,571.004047970934,679.973451828883,715.5885327512,512.932724176238,307.905383310835,386.836163681306,491.802350037468,752.085591783925,524.69145436171
"Baz2b",941.585855949072,879.907877201112,859.314718655442,1047.93054959722,742.559583255135,599.746137927191,603.597807123418,633.508111912671,681.701732628297,692.592719757457
"Bbc3",19.7076109384689,5.6164332587305,11.0789971784747,12.2872928763493,11.9286680040986,9.37103340511235,6.66958902898804,20.4601902172752,21.0016353932115,22.3417006373373
"Bbox1",506.558592270276,655.250546851892,736.753312368566,743.088664426839,250.50202808607,77.6457053566452,90.0394518913385,140.190192229479,361.001084056284,184.149774950174
"Bbs1",25.5469030683857,26.2100218740757,24.927743651568,34.5214418906956,20.8751690071725,17.4033477523515,43.3523286884222,51.5293679546191,46.5441649254957,37.91318896033
"Bbs10",27.0067261008649,16.8492997761915,20.77311970964,25.1596949372867,20.8751690071725,29.4518192732103,23.3435616014581,56.0760768917914,44.8413296233434,18.2795732487305
"Bbs12",24.8169915521461,27.1460940838641,18.695807738676,25.7448041218747,26.8395030092218,16.0646286944783,16.6739725724701,29.5536080916198,18.7311883236751,18.956594480165
"Bbs2",88.3192934649905,83.3104266711691,58.1647351869921,70.7982113351555,92.4471770317639,74.9682672408988,53.3567122319043,143.979116343789,112.387129942051,88.6897813179149
"Bbs4",62.0424788803652,62.7168380558239,57.4722978633374,55.0002633512778,53.6790060184435,89.694176877504,66.6958902898804,52.2871527774812,102.170118129137,71.0872293006188
"Bbs5",32.116106714542,32.7625273425946,29.7748049171507,12.8724020609374,35.7860040122957,24.0969430417175,13.3391780579761,37.1314563202403,57.8964002731776,30.4659554145509
"Bbs7",65.6920364615631,62.7168380558239,51.2403619504454,52.6598266129256,56.6611730194682,68.2746719515329,50.0219177174103,46.2248741945848,145.876224217712,62.9629745234052
"Bbs9",156.930975991512,146.963336936781,110.097534461092,134.575112455254,119.286680040986,121.823434266461,130.056986065267,124.276710949376,149.281894822017,142.174458601238
"Bbx",354.007085376201,334.177778894465,371.146405478902,441.757434363987,375.753042129105,301.211788021469,396.840547224788,412.992728459815,620.399661750815,502.349753724373
"Bcam",178.09840996246,192.830875216414,222.272380893148,218.245725851347,107.358012036887,148.597815423924,153.400547666725,96.9964573263419,89.6826592466869,120.509779195335
"Bcan",0.729911516239591,0,0.692437323654667,0,0,8.03231434723916,6.66958902898804,0.757784822862046,1.70283530215228,1.35404246286893
"Bcap29",149.631860829116,148.835481356358,143.334525996516,123.458037948081,187.876521064552,326.647450121059,293.461917275474,178.837218195443,461.468366883268,148.267649684148
"Bcap31",359.116465989879,427.784999873306,504.094371620598,471.01289359339,411.5390461414,350.744393162777,386.836163681306,1680.76673710802,678.863673791376,568.020813173516
"Bcar1",61.3125673641256,58.0364770068818,81.7076041912508,71.3833205197435,32.803837011271,68.2746719515329,80.0350683478565,56.0760768917914,59.5992355753299,27.757870488813
"Bcar3",64.232213429084,64.5889824754008,159.953021764228,105.319653225851,41.750338014345,97.7264912247431,100.043835434821,323.574119362094,90.2502710140709,52.8076560518882
"Bcas1",5.10938061367713,3.74428883915367,6.23193591289201,5.26598266129256,17.8930020061478,44.1777289098154,26.6783561159522,6.06227858289637,34.0567060430456,5.41616985147572
"Bcas2",197.076109384689,189.08658637726,168.262269648084,179.628519668535,274.359364094267,290.502035558483,276.787944703004,178.079433372581,267.345142437908,222.062963910504
"Bcas3",237.221242777867,219.976969300278,224.349692864112,214.735070743819,134.197515046109,279.792283095497,156.735342181219,271.286966584613,154.390400728474,161.131053081403
"Bcat1",2.18973454871877,5.6164332587305,9.00168520751068,2.34043673835225,29.8216700102464,21.4195049259711,33.3479451449402,12.8823419886548,9.0817882781455,8.12425477721358
"Bcat2",255.469030683857,238.698413496046,204.269010478127,210.639306451702,175.947853060454,309.244102368708,230.100821500087,1087.42122080704,248.046342346849,326.324233551412
"Bccip",148.172037796637,140.410831468263,122.561406286876,125.213365501845,223.662525076848,282.469721211244,310.135889847944,222.03095309858,134.52398887003,190.242966033085
"Bcdin3d",14.5982303247918,13.1050109370378,22.1579943569494,18.1383847222299,26.8395030092218,18.7420668102247,6.66958902898804,18.9446205715512,15.3255177193705,19.6336157115995
"Bche",748.88921566182,781.620295173328,671.664203945027,557.023943727835,414.521213142425,674.71440516809,640.280546782852,3316.06638484431,869.013615865048,766.388033983814
