"","UpstreamRegulator","X","Group","Tissue","pval","padj","ES","NES","nMoreExtreme","size"
"386","IFNB1",2,"LTAL_vs_STDR","Blood",0.000523834468308015,0.000523834468308015,-0.405088113270608,-1.67306511363379,1,111
"387","IFNB1",3,"Young_vs_LTAL","Blood",0.00196335078534031,0.00196335078534031,0.380378904380442,1.56613963284164,5,112
"388","IFNB1",4,"LTAL_vs_LTDR","Brain",0.0164988814317673,0.0164988814317673,-0.428096444843527,-1.45995936964526,117,124
"389","IFNB1",5,"LTAL_vs_STDR","Brain",0.000424358158285593,0.000424358158285593,-0.471659467582633,-1.85104859206486,1,124
"390","IFNB1",6,"Young_vs_LTAL","Brain",0.000543773790103317,0.000543773790103317,0.664018104014733,2.48513034283906,0,127
"391","IFNB1",7,"LTAL_vs_LTDR","Heart",0.00106100795755968,0.00106100795755968,-0.381090003763607,-1.56776608855842,1,132
"392","IFNB1",8,"LTAL_vs_STDR","Heart",0.00808592807144581,0.00808592807144581,-0.450791221171398,-1.55140900635909,66,130
"393","IFNB1",9,"Young_vs_LTAL","Heart",0.661159569009749,0.661159569009749,0.373655894174879,0.895694661204687,6442,130
"394","IFNB1",10,"LTAL_vs_LTDR","Kidney",0.00138638569249965,0.00138638569249965,-0.474354767457022,-1.61654994304913,9,133
"395","IFNB1",11,"LTAL_vs_STDR","Kidney",0.000332336324360253,0.000332336324360253,-0.451940196474864,-1.77555949097818,0,133
"396","IFNB1",12,"Young_vs_LTAL","Kidney",0.00124571784490813,0.00124571784490813,0.48789665119145,1.6170023797937,7,133
"397","IFNB1",13,"LTAL_vs_LTDR","Liver",0.0904774465840148,0.0904774465840148,-0.355464375360561,-1.2852880792092,685,119
"398","IFNB1",14,"LTAL_vs_STDR","Liver",0.000774993541720486,0.000774993541720486,-0.459883708296211,-1.73329038096271,2,119
"399","IFNB1",15,"Young_vs_LTAL","Liver",0.550810473815461,0.550810473815461,-0.250493494096595,-0.957396215151701,1766,114
"400","IFNB1",16,"LTAL_vs_LTDR","Lung",0.0002322340919647,0.0002322340919647,-0.501709536719892,-1.99754246393323,0,136
"401","IFNB1",17,"LTAL_vs_STDR","Lung",0.00914694770332074,0.00914694770332074,-0.426939696809365,-1.61578099631567,45,136
"402","IFNB1",18,"Young_vs_LTAL","Lung",0.000587371512481645,0.000587371512481645,0.405654137918308,1.66469805011302,1,137
"403","IFNB1",19,"LTAL_vs_LTDR","Muscle",0.0361063351408544,0.0361063351408544,-0.443740012020633,-1.45845657639619,272,123
"404","IFNB1",20,"LTAL_vs_STDR","Muscle",0.00296262534184139,0.00296262534184139,-0.518757049601848,-1.73113695943436,12,125
