"","Lung_LTDR_rep1","Lung_LTDR_rep2","Lung_LTDR_rep3","Lung_LTAL_rep2","Lung_LTAL_rep3","Lung_Young_rep1","Lung_Young_rep2","Lung_Young_rep3","Lung_STDR_rep1","Lung_STDR_rep2","Lung_STDR_rep3"
"Cyc1",434.824779958944,409.176944887881,407.579170563062,381.701375417543,465.150109401249,362.172981365357,434.556721902203,391.617644406775,533.665473783739,389.351108181314,511.747736585356
"Cycs",67.0057857641651,57.481419244878,57.3013799884577,68.2916198830109,89.5229377220657,64.9177985466205,71.8896305369077,53.2511244519127,36.6425237281089,35.2176881772043,75.710624042765
"Cyct",0,0,0,0,0,0,0,0,0,0,0
"Cyfip1",1938.89082211201,1901.42484186346,2023.10839991506,2154.84450595143,1997.19213639742,1935.00596018786,1755.39456057285,1919.25927712102,2252.105881443,1959.47303941501,2258.70028394249
"Cyfip2",472.604637889803,435.648651119075,282.810036717227,409.749719298066,519.602205541474,342.811532676014,694.217775483273,443.759370432606,206.701415902153,367.829187628578,514.551833772125
"Cygb",353.562444032191,251.103041964467,291.127978973616,202.43587322464,343.325080748541,160.586133246903,211.376973369714,205.23870882508,213.278279135403,363.916111164444,346.306002565981
"Cyhr1",534.620631097062,562.712841028806,621.07302181038,591.454207915363,544.520961402255,520.481297119396,540.781698367186,552.480416188594,779.828069085394,623.157426913309,497.727250651511
"Cylc1",0,0,0,0,0,0,0,0,0,0,0
"Cylc2",0,0.756334463748395,0,0,0,0,0,0,0,0,0
"Cyld",1055.69753953967,916.677370063054,968.578164966188,1173.15247013315,1237.63154108547,1059.1851341817,1009.67376619746,1045.05331736879,996.864555782654,949.899311668482,1205.7617903107
"Cym",0.712827508129416,0,0.924215806265446,0,0.922916883732636,0,0,1.10939842608151,0,0,0
"Cyp11a1",4.2769650487765,6.05067570998716,6.46951064385812,1.21949321219662,89.5229377220657,2.27781749286388,2.14595912050471,3.32819527824454,0,3.91307646413381,28.0409718676907
"Cyp11b1",0,0,0,0,0,0,0,1.10939842608151,0,0,0
"Cyp11b2",0,0,0.924215806265446,1.21949321219662,0,0,0,0,0,0,0
"Cyp17a1",3.56413754064708,10.5886824924775,5.54529483759268,7.31695927317974,1.84583376746527,2.27781749286388,2.14595912050471,2.21879685216303,0,4.89134558016726,42.0614578015361
"Cyp19a1",0,0,0,0,0,0,0,0,0,1.95653823206691,0
